,GICS_sector,total_companies,total_volume,average_daily_volume,vwap,transactions
7,Information Technology,174,564335625201.0,6492257.487062018,121.34141070587164,43023.80013852936
0,Communication Services,51,142034477836.0,5577815.118638056,83.18670771231965,46743.33517227772
1,Consumer Discretionary,197,307247106196.5,3146282.977257755,162.2557478053809,31542.208391843873
3,Energy,72,109059246233.0,3064841.271560939,60.65343940193989,29831.12458230693
2,Consumer Staples,81,107081391955.4877,2696649.8795520677,97.59791624715145,27951.860755022964
10,Utilities,59,64822178055.1969,2199735.891325127,62.615490601490855,21613.010112605672
4,Financials,256,230042827045.6716,1807261.2120957894,84.4807412588905,18621.95408905556
8,Materials,84,68903709167.0,1784894.1148802442,99.62711314742388,18628.611277925967
5,Health Care,172,147577760051.0,1732345.5277062866,127.10577008924663,21123.394929495702
9,Real Estate,113,87127992293.3,1551555.1249043273,57.07952775018183,15143.717293825279
6,Industrials,247,168684689482.5579,1427281.6278080835,121.43117401433979,17002.847280034053
